City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain (inches),Snow (inches)
0,Turinsk,58.05,63.7,48.24,98,100,9.51,RU,2020-06-28 16:17:28,moderate rain,2.14,0.0
1,Berbera,10.44,45.01,98.04,33,24,11.45,SO,2020-06-28 16:17:28,few clouds,0.0,0.0
2,Kapaa,22.08,-159.32,73.4,94,75,4.7,US,2020-06-28 16:17:28,moderate rain,1.02,0.0
3,Adre,13.47,22.2,93.85,25,90,1.07,TD,2020-06-28 16:17:07,overcast clouds,0.0,0.0
4,Omboue,-1.57,9.26,76.17,74,20,10.76,GA,2020-06-28 16:17:28,few clouds,0.0,0.0
5,Turayf,31.67,38.66,96.8,15,0,13.87,SA,2020-06-28 16:17:28,clear sky,0.0,0.0
6,Butaritari,3.07,172.79,82.67,74,31,14.92,KI,2020-06-28 16:16:45,scattered clouds,0.0,0.0
7,Mar Del Plata,-38.0,-57.56,48.2,76,20,4.7,AR,2020-06-28 16:17:28,few clouds,0.0,0.0
8,New Norfolk,-42.78,147.06,42.01,91,41,2.75,AU,2020-06-28 16:11:11,scattered clouds,0.0,0.0
9,Mogadishu,2.04,45.34,78.84,86,90,15.59,SO,2020-06-28 16:12:32,overcast clouds,0.0,0.0
10,Puerto Del Rosario,28.5,-13.86,78.8,69,20,23.04,ES,2020-06-28 16:17:28,few clouds,0.0,0.0
11,Kodiak,57.79,-152.41,51.8,87,90,9.17,US,2020-06-28 16:17:29,overcast clouds,0.0,0.0
12,Byron Bay,-28.65,153.62,50.0,93,17,5.82,AU,2020-06-28 16:17:29,few clouds,0.0,0.0
13,Nikolskoye,59.7,30.79,68.0,40,0,11.18,RU,2020-06-28 16:16:51,clear sky,0.0,0.0
14,Jamestown,42.1,-79.24,71.6,64,20,11.41,US,2020-06-28 16:06:19,few clouds,0.0,0.0
15,Cabo San Lucas,22.89,-109.91,84.2,58,90,4.7,MX,2020-06-28 16:17:29,overcast clouds,0.0,0.0
16,Pevek,69.7,170.31,31.95,99,100,18.28,RU,2020-06-28 16:17:29,light rain,0.3,0.0
17,Mataura,-46.19,168.86,41.68,90,99,4.32,NZ,2020-06-28 16:17:29,overcast clouds,0.0,0.0
18,Suzhou,31.31,120.62,79.0,90,100,8.55,CN,2020-06-28 16:16:19,light rain,0.4,0.0
19,Castro,-24.79,-50.01,54.68,85,100,6.2,BR,2020-06-28 16:17:29,overcast clouds,0.0,0.0
