City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,Omboue,GA,76.17,-1.57,9.26,
6,Butaritari,KI,82.67,3.07,172.79,
9,Mogadishu,SO,78.84,2.04,45.34,
10,Puerto Del Rosario,ES,78.8,28.5,-13.86,
15,Cabo San Lucas,MX,84.2,22.89,-109.91,
27,Veyrier,CH,80.6,46.17,6.18,
35,Arraial Do Cabo,BR,75.2,-22.97,-42.03,
41,Puerto Escondido,MX,87.8,15.85,-97.07,
44,Los Llanos De Aridane,ES,75.2,28.66,-17.92,
51,Fukue,JP,75.24,32.69,128.84,
52,Sur,OM,88.57,22.57,59.53,
57,Yidu,CN,78.78,24.16,115.13,
59,Kalangala,UG,75.2,-0.31,32.23,
60,Taganrog,RU,89.01,47.24,38.9,
61,Puerto Ayora,EC,75.2,-0.74,-90.35,
67,Taggia,IT,78.8,43.85,7.85,
68,Skala,PL,84.2,50.23,19.85,
72,Cosala,MX,89.01,24.41,-106.69,
79,Camocim,BR,87.76,-2.9,-40.84,
87,Vaini,TO,75.2,-21.2,-175.2,
88,Khatanga,RU,77.09,71.97,102.5,
92,Hithadhoo,MV,85.68,-0.6,73.08,
94,Celestun,MX,87.08,20.87,-90.4,
98,Thinadhoo,MV,84.99,0.53,72.93,
100,San Ignacio,BZ,88.0,17.16,-89.07,
105,Faanui,PF,76.33,-16.48,-151.75,
107,Hyeres,FR,88.0,43.12,6.12,
114,Acapulco,MX,87.8,16.86,-99.89,
121,Meulaboh,ID,79.39,4.14,96.13,
123,Mbandaka,CD,81.64,0.05,18.26,
126,Banda Aceh,ID,80.47,5.56,95.32,
133,Dasoguz,TM,82.4,41.84,59.97,
139,Kieta,PG,79.16,-6.22,155.63,
141,Sao Joao Da Barra,BR,75.2,-21.64,-41.05,
147,Hambantota,LK,82.4,6.12,81.12,
153,Hobbs,US,84.0,32.7,-103.14,
155,Alanya,TR,86.0,36.54,32.0,
161,Praia Da Vitoria,PT,75.2,38.73,-27.07,
163,Victoria,HK,86.0,22.29,114.16,
167,Kirakira,SB,79.07,-10.45,161.92,
169,Coahuayana,MX,82.4,18.73,-103.68,
182,Mayo,US,84.99,38.89,-76.51,
183,Nowy Targ,PL,79.0,49.48,20.03,
