City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bang Saphan,TH,2020-06-27 20:36:24,11.21,99.51,77.34,86,99,4.76
1,Norman Wells,CA,2020-06-27 20:48:41,65.28,-126.83,60.8,51,75,16.11
2,New Norfolk,AU,2020-06-27 20:48:41,-42.78,147.06,37.99,93,27,2.68
3,Springbok,ZA,2020-06-27 20:48:41,-29.66,17.89,46.06,89,45,6.11
4,Carnarvon,AU,2020-06-27 20:48:41,-24.87,113.63,64.4,100,90,9.17
5,Vaini,TO,2020-06-27 20:46:31,-21.2,-175.2,77.0,88,20,5.82
6,Alofi,NU,2020-06-27 20:48:42,-19.06,-169.92,77.0,78,75,6.93
7,Sambava,MG,2020-06-27 20:48:42,-14.27,50.17,70.97,86,6,11.5
8,Saint-Philippe,RE,2020-06-27 20:46:47,-21.36,55.77,71.6,73,75,5.82
9,Namatanai,PG,2020-06-27 20:48:42,-3.67,152.43,79.88,81,79,4.81
10,Te Anau,NZ,2020-06-27 20:48:42,-45.42,167.72,40.87,87,88,3.15
11,Hervey Bay,AU,2020-06-27 20:48:42,-25.3,152.85,54.0,92,11,7.0
12,Nikolskoye,RU,2020-06-27 20:48:42,59.7,30.79,66.2,63,14,2.01
13,Butaritari,KI,2020-06-27 20:48:42,3.07,172.79,82.81,75,47,17.85
14,Rikitea,PF,2020-06-27 20:48:42,-23.12,-134.97,71.26,72,0,16.08
15,Gamba,GA,2020-06-27 20:48:42,-2.65,10.0,71.15,86,39,5.88
16,Zhigansk,RU,2020-06-27 20:48:42,66.77,123.37,69.78,48,0,3.44
17,Mehamn,NO,2020-06-27 20:48:42,71.04,27.85,43.81,89,97,15.57
18,Kodiak,US,2020-06-27 20:46:36,57.79,-152.41,53.6,58,1,6.93
19,Katsuura,JP,2020-06-27 20:48:42,35.13,140.3,75.2,100,75,11.41
20,Eldama Ravine,KE,2020-06-27 20:48:42,0.05,35.73,59.0,82,75,4.7
21,Samfya,ZM,2020-06-27 20:48:42,-11.36,29.56,68.56,46,65,4.94
22,Puerto Ayora,EC,2020-06-27 20:48:42,-0.74,-90.35,80.6,57,57,19.46
23,Bambous Virieux,MU,2020-06-27 20:46:58,-20.34,57.76,72.0,88,40,11.41
24,Saskylakh,RU,2020-06-27 20:48:42,71.92,114.08,51.24,64,0,4.81
25,Avarua,CK,2020-06-27 20:48:05,-21.21,-159.78,75.2,57,33,13.87
26,College,US,2020-06-27 20:48:42,64.86,-147.8,66.0,48,75,8.05
27,Roebourne,AU,2020-06-27 20:48:42,-20.78,117.13,66.97,28,0,6.29
28,Hofn,IS,2020-06-27 20:48:42,64.25,-15.21,53.89,86,100,15.05
29,East London,ZA,2020-06-27 20:48:42,-33.02,27.91,67.12,27,11,16.96
30,Barrow,US,2020-06-27 20:48:42,71.29,-156.79,60.8,48,1,14.99
31,Ushuaia,AR,2020-06-27 20:48:42,-54.8,-68.3,37.4,59,75,21.92
32,Anchorage,US,2020-06-27 20:47:00,61.22,-149.9,64.4,45,1,6.93
33,Upernavik,GL,2020-06-27 20:46:53,72.79,-56.15,39.49,81,40,7.02
34,Dikson,RU,2020-06-27 20:48:42,73.51,80.55,45.16,83,1,10.0
35,Staryy Nadym,RU,2020-06-27 20:48:42,65.61,72.68,45.19,86,69,5.12
36,Dauphin,CA,2020-06-27 20:48:31,51.15,-100.05,89.6,33,1,24.16
37,Ribeira Grande,PT,2020-06-27 20:47:01,38.52,-28.7,69.8,88,40,9.17
38,Iqaluit,CA,2020-06-27 20:48:42,63.75,-68.51,42.8,75,20,8.05
39,Jamestown,US,2020-06-27 20:44:17,42.1,-79.24,75.0,78,90,10.29
40,Luau,AO,2020-06-27 20:48:42,-10.71,22.22,63.37,39,0,2.95
41,Shambu,ET,2020-06-27 20:48:43,9.57,37.1,53.4,100,82,2.75
42,Khatanga,RU,2020-06-27 20:48:43,71.97,102.5,70.57,48,98,10.8
43,Mataura,NZ,2020-06-27 20:48:43,-46.19,168.86,43.02,91,100,2.13
44,Cape Town,ZA,2020-06-27 20:48:43,-33.93,18.42,60.01,71,40,6.93
45,Mandalgovi,MN,2020-06-27 20:48:43,45.76,106.27,66.76,35,100,6.44
46,Yarensk,RU,2020-06-27 20:48:43,62.17,49.09,47.34,93,100,8.52
47,Aswan,EG,2020-06-27 20:48:43,24.09,32.91,87.53,19,0,11.27
48,Pevek,RU,2020-06-27 20:48:43,69.7,170.31,32.76,96,86,20.62
49,Itapora,BR,2020-06-27 20:48:43,-22.08,-54.79,64.2,79,95,3.22
50,Sistranda,NO,2020-06-27 20:48:43,63.73,8.83,66.2,77,40,8.05
51,Gladstone,AU,2020-06-27 20:48:43,-23.85,151.25,62.6,67,75,8.05
